1558.98,76
1558.58,78
1558.17,92
1557.77,120
1557.36,158
1556.96,210
1556.85,281
1556.15,446
1555.75,680
1555.34,1183
1554.94,2125
1554.54,3859
1554.13,7494
1553.73,14695
1553.33,29898
1552.93,63808
1552.52,129112
1552.12,237460
1551.72,362777
1551.32,442972
1550.92,446025
1550.52,468900
1550.12,461956
1549.72,452234
1549.32,455853
1548.91,452374
1548.51,445053
1548.11,442137
1547.72,437923
1547.32,428522
1546.92,431804
1546.52,428402
1546.12,427255
1545.72,430301
1545.32,422421
1544.92,399109
1544.53,351644
1544.13,253309
1543.73,144166
1543.33,69643
1542.94,31406
1542.84,14065
1542.14,6771
1541.75,3499
1541.35,1720
1540.95,1012
1540.56,610
1540.16,402
1539.77,256
1539.37,189
1538.98,143
1538.58,101
1538.19,108
1537.79,106
1537.4,94
1537,98
1536.61,89
1536.22,65
1535.82,73
1535.43,63
1535.04,64
1534.64,66
1534.25,61
1533.86,60
1533.47,54
1533.07,51
